Tabela,Coluna,Tipo de Dado,Tamanho Max,Aceita Nulo (Vazio)?,Valor Padrão
almoxarifado,id,bigint,null,NO,null
almoxarifado,created_at,timestamp with time zone,null,YES,now()
almoxarifado,nome_produto,text,null,NO,null
almoxarifado,categoria,text,null,YES,null
almoxarifado,unidade_medida,text,null,YES,null
almoxarifado,quantidade_estoque,numeric,null,YES,0
almoxarifado,estoque_minimo,numeric,null,YES,0
almoxarifado,valor_unitario,numeric,null,YES,0
almoxarifado,filial_id,bigint,null,YES,1
almoxarifado_compras,id,bigint,null,NO,null
almoxarifado_compras,filial_id,integer,null,YES,null
almoxarifado_compras,usuario_id,integer,null,YES,null
almoxarifado_compras,material_nome,character varying,255,NO,null
almoxarifado_compras,marca_sugerida,character varying,100,YES,null
almoxarifado_compras,quantidade,numeric,null,NO,null
almoxarifado_compras,justificativa,text,null,YES,null
almoxarifado_compras,status,character varying,50,YES,'Pendente'::character varying
almoxarifado_compras,data_solicitacao,timestamp with time zone,null,YES,now()
almoxarifado_materiais,id,bigint,null,NO,null
almoxarifado_materiais,filial_id,integer,null,YES,null
almoxarifado_materiais,codigo,character varying,50,YES,null
almoxarifado_materiais,nome,character varying,255,NO,null
almoxarifado_materiais,marca,character varying,100,YES,null
almoxarifado_materiais,unidade_medida,character varying,20,YES,'UN'::character varying
almoxarifado_materiais,quantidade_estoque,numeric,null,YES,0
almoxarifado_materiais,estoque_minimo,numeric,null,YES,0
almoxarifado_materiais,status,character varying,50,YES,'Ativo'::character varying
almoxarifado_movimentacoes,id,bigint,null,NO,null
almoxarifado_movimentacoes,peca_id,bigint,null,YES,null
almoxarifado_movimentacoes,tipo,text,null,NO,null
almoxarifado_movimentacoes,quantidade,numeric,null,NO,null
almoxarifado_movimentacoes,valor_unitario,numeric,null,NO,null
almoxarifado_movimentacoes,nota_fiscal,text,null,YES,null
almoxarifado_movimentacoes,fornecedor,text,null,YES,null
almoxarifado_movimentacoes,cavalo,text,null,YES,null
almoxarifado_movimentacoes,os_id,text,null,YES,null
almoxarifado_movimentacoes,data_movimentacao,timestamp with time zone,null,YES,now()
almoxarifado_movimentacoes,usuario_registro,text,null,YES,null
almoxarifado_movimentacoes,filial_id,bigint,null,YES,null
almoxarifado_movimentacoes,usuario,text,null,YES,null
almoxarifado_movimentacoes,setor_destino,text,null,YES,null
almoxarifado_pecas,id,bigint,null,NO,null
almoxarifado_pecas,codigo,text,null,YES,null
almoxarifado_pecas,nome,text,null,NO,null
almoxarifado_pecas,quantidade,numeric,null,YES,0
almoxarifado_pecas,estoque_minimo,numeric,null,YES,0
almoxarifado_pecas,preco_medio,numeric,null,YES,0
almoxarifado_pecas,created_at,timestamp with time zone,null,YES,now()
