Tabela de Origem,Coluna de Origem,Tabela de Destino (Relacionada),Coluna de Destino
almoxarifado_compras,filial_id,filiais,id
almoxarifado_compras,usuario_id,usuarios,id
almoxarifado_materiais,filial_id,filiais,id
almoxarifado_movimentacoes,peca_id,almoxarifado_pecas,id
almoxarifado_pneus_mov,pneu_id,almoxarifado_pneus,id
almoxarifado_requisicoes,atendido_por,usuarios,id
almoxarifado_requisicoes,usuario_id,usuarios,id
almoxarifado_requisicoes,filial_id,filiais,id
almoxarifado_requisicoes,centro_custo_id,centro_custo,id
atividades_processos,objeto_custo_id,objetos_custo,id
cargos,setor_id,setores,id
cargos,reporta_a_cargo_id,cargos,id
cargos,filial_id,filiais,id
cargos,centro_custo_id,centro_custo,id
cargos,cargo_superior_id,cargos,id
centro_custo,filial_id,filiais,id
conjuntos,filial_id,filiais,id
controladores_trafego,filial_id,filiais,id
documentos_frota,filial_id,filiais,id
equipe_campo,maquina_id,maquinas_campo,id
escala_campo,operador_id,equipe_campo,id
historico_jornadas,filial_id,filiais,id
instrutores,filial_id,filiais,id
logs_exclusao,filial_id,filiais,id
monitoramento_ups,fazenda_id,monitoramento_fazendas,id
motoristas,conjuntoId,conjuntos,id
objetos_custo,centro_custo_id,centro_custo,id
os_pecas_utilizadas,filial_id,filiais,id
os_servicos_executados,mecanico_id,mecanicos,id
registro_troca_turno,local_troca_id,locais_troca,id
rh_atestados,colaborador_id,rh_colaboradores,id
treinamentos,filial_id,filiais,id
turnos_operacionais,filial_id,filiais,id
usuarios,centro_custo_id,centro_custo,id
usuarios,cargo_id,cargos,id
usuarios,filial_id,filiais,id
